,Mkt-RF,SMB,HML,RMW,CMA,RF
2017-12-11,0.26,-0.41,-0.14,-0.08,0.07,0.004
2017-12-12,0.07,-0.47,0.52,0.03,0.1,0.004
2017-12-13,0.02,0.62,-0.88,0.27,-0.07,0.004
2017-12-14,-0.47,-0.75,-0.21,-0.15,-0.12,0.004
2017-12-15,0.92,0.68,0.03,0.4,-0.51,0.004
2017-12-18,0.67,0.82,0.26,0.26,0.16,0.004
2017-12-19,-0.3,-0.34,-0.26,0.26,0.38,0.004
2017-12-20,0.01,0.38,0.05,-0.17,0.27,0.004
2017-12-21,0.24,0.32,0.63,-0.75,0.32,0.004
2017-12-22,-0.07,-0.21,-0.2,-0.13,0.2,0.004
2017-12-26,-0.07,0.32,-0.06,-0.17,0.57,0.004
2017-12-27,0.05,-0.16,-0.19,0.08,-0.12,0.004
2017-12-28,0.22,0.09,0.04,-0.15,-0.2,0.004
2017-12-29,-0.57,-0.3,0.02,0.17,0.15,0.004
2018-01-02,0.85,0.31,-0.22,-0.45,0.22,0.005
2018-01-03,0.59,-0.48,-0.21,-0.75,-0.08,0.005
2018-01-04,0.42,-0.23,0.24,-0.04,0.3,0.005
2018-01-05,0.66,-0.36,-0.27,0.39,-0.36,0.005
2018-01-08,0.19,-0.21,0.07,-0.1,0.04,0.005
2018-01-09,0.15,-0.37,-0.02,-0.15,-0.06,0.005
2018-01-10,-0.07,0.14,0.58,-0.34,0,0.005
2018-01-11,0.87,1.14,0.29,-0.11,0.47,0.005
2018-01-12,0.66,-0.32,0.17,-0.11,0.15,0.005
2018-01-16,-0.49,-1.01,-0.02,0.39,-0.33,0.005
2018-01-17,0.95,-0.07,-0.15,-0.08,-0.03,0.005
2018-01-18,-0.18,-0.45,-0.25,0.27,-0.29,0.005
2018-01-19,0.57,0.94,-0.07,0.1,0.14,0.005
2018-01-22,0.77,-0.34,-0.14,-0.52,0.19,0.005
2018-01-23,0.22,0.07,-0.33,-0.28,-0.25,0.005
2018-01-24,-0.13,-0.7,0.39,0.01,0.14,0.005
2018-01-25,0.07,0.12,-0.49,0.13,-0.17,0.005
2018-01-26,1.11,-0.64,-0.5,0.38,-0.18,0.005
2018-01-29,-0.62,-0.02,-0.26,0.18,-0.29,0.005
2018-01-30,-1.06,0.1,-0.17,0.34,-0.33,0.005
2018-01-31,-0.07,-0.66,0.06,0.22,-0.08,0.005
2018-02-01,0.03,0.15,0.5,-0.58,0.03,0.006
2018-02-02,-2.13,-0.01,-0.27,0.56,-0.44,0.006
2018-02-05,-4.03,0.64,-0.56,0.21,-0.16,0.006
2018-02-06,1.67,-0.47,-0.23,0.1,-0.19,0.006
2018-02-07,-0.37,0.57,0.26,0.33,0.32,0.006
2018-02-08,-3.67,0.82,0.48,0.37,0.09,0.006
2018-02-09,1.36,-0.57,0.11,0.17,-0.47,0.006
2018-02-12,1.36,-0.44,-0.29,-0.23,-0.19,0.006
2018-02-13,0.31,0.1,-0.23,0.19,-0.03,0.006
2018-02-14,1.52,0.3,0.46,-0.67,-0.07,0.006
2018-02-15,1.21,-0.17,-0.65,0.15,-0.29,0.006
2018-02-16,0.03,0.35,0.13,0,0.09,0.006
2018-02-20,-0.62,-0.28,-0.25,-0.22,-0.52,0.006
2018-02-21,-0.43,0.8,0.2,0.09,-0.28,0.006
2018-02-22,0.01,-0.05,-0.39,0.09,0.45,0.006
2018-02-23,1.54,-0.36,-0.14,-0.13,-0.1,0.006
2018-02-26,1.12,-0.46,-0.07,-0.15,-0.23,0.006
2018-02-27,-1.25,-0.2,0.01,-0.03,-0.05,0.006
2018-02-28,-1.1,-0.43,-0.31,0.24,-0.27,0.006
2018-03-01,-1.18,0.96,-0.04,-0.27,0.05,0.006
2018-03-02,0.7,1.1,-0.5,-0.4,-0.39,0.006
2018-03-05,1.06,-0.41,0.25,-0.6,0.09,0.006
2018-03-06,0.36,0.68,0.1,0.27,-0.02,0.006
2018-03-07,0.05,0.78,-0.45,-0.08,-0.43,0.006
2018-03-08,0.37,-0.58,-0.33,-0.03,-0.18,0.006
2018-03-09,1.7,-0.2,0.28,-0.25,-0.04,0.006
2018-03-12,-0.09,0.43,-0.06,-0.35,-0.23,0.006
2018-03-13,-0.67,0.1,0,0.45,0.05,0.006
2018-03-14,-0.53,0.15,-0.54,-0.11,-0.42,0.006
2018-03-15,-0.18,-0.41,0.31,0.07,-0.14,0.006
2018-03-16,0.25,0.47,0.2,0.05,0.32,0.006
2018-03-19,-1.38,0.4,0.41,0.37,0.12,0.006
2018-03-20,0.15,-0.12,-0.38,-0.03,-0.11,0.006
2018-03-21,-0.06,0.7,0.45,-1.09,0.8,0.006
2018-03-22,-2.54,0.39,-0.46,0.21,0.04,0.006
2018-03-23,-2.09,0.1,-0.2,0.08,0.73,0.006
2018-03-26,2.67,-0.64,0.02,0.05,-0.6,0.006
2018-03-27,-1.87,-0.24,0.4,0.71,0.55,0.006
2018-03-28,-0.35,0.18,0.65,0.71,0.07,0.006
2018-03-29,1.41,-0.28,-0.21,-0.34,-0.18,0.006
2018-04-02,-2.29,-0.07,0.39,0.11,-0.09,0.007
2018-04-03,1.24,-0.04,0.17,0.26,0.12,0.007
2018-04-04,1.17,0.33,-0.32,0.07,-0.14,0.007
2018-04-05,0.75,0.06,0.48,0.12,0.25,0.007
2018-04-06,-2.19,0.38,-0.06,0.11,0.04,0.007
2018-04-09,0.3,-0.25,-0.5,-0.76,-0.31,0.007
2018-04-10,1.77,0.34,-0.12,-0.83,0.37,0.007
2018-04-11,-0.49,0.8,-0.31,-0.61,0.27,0.007
2018-04-12,0.84,-0.16,0.19,-0.2,0,0.007
2018-04-13,-0.37,-0.11,-0.25,-0.13,0.14,0.007
2018-04-16,0.82,0.14,-0.04,0.82,0.03,0.007
2018-04-17,1.09,0.01,-1.18,-0.21,-0.46,0.007
2018-04-18,0.13,0.24,0.01,-0.23,0.42,0.007
2018-04-19,-0.49,-0.29,1.08,-0.48,0.1,0.007
2018-04-20,-0.81,0.11,0.62,-0.58,0.28,0.007
2018-04-23,-0.05,-0.07,0.2,0.31,0.07,0.007
2018-04-24,-1.3,0.63,0.98,0.09,0.23,0.007
2018-04-25,0.1,-0.28,0.01,0.4,0.16,0.007
2018-04-26,0.96,-0.54,-0.85,-0.48,-0.48,0.007
2018-04-27,0.01,-0.27,0.07,0.63,0.09,0.007
2018-04-30,-0.8,-0.05,-0.07,-0.48,-0.02,0.007
